REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000595,page 114 low OCR chars=39,corpus/raw-ocr/HFM-A000595_p114_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000597,page 1 low OCR chars=39,corpus/raw-ocr/HFM-A000597_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000598,page 1 low OCR chars=18,corpus/raw-ocr/HFM-A000598_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000599,page 1 low OCR chars=26,corpus/raw-ocr/HFM-A000599_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000601,page 1 low OCR chars=48,corpus/raw-ocr/HFM-A000601_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000603,page 1 low OCR chars=6,corpus/raw-ocr/HFM-A000603_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000604,page 1 low OCR chars=56,corpus/raw-ocr/HFM-A000604_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000609,page 1 low OCR chars=18,corpus/raw-ocr/HFM-A000609_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000609,page 765 low OCR chars=28,corpus/raw-ocr/HFM-A000609_p765_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000610,page 1 low OCR chars=18,corpus/raw-ocr/HFM-A000610_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000610,page 765 low OCR chars=28,corpus/raw-ocr/HFM-A000610_p765_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000611,page 1 low OCR chars=12,corpus/raw-ocr/HFM-A000611_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000612,page 1 low OCR chars=5,corpus/raw-ocr/HFM-A000612_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000614,page 1 low OCR chars=2,corpus/raw-ocr/HFM-A000614_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000615,page 970 low OCR chars=46,corpus/raw-ocr/HFM-A000615_p970_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000616,page 1 low OCR chars=13,corpus/raw-ocr/HFM-A000616_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000618,page 1 low OCR chars=37,corpus/raw-ocr/HFM-A000618_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000619,page 1 low OCR chars=23,corpus/raw-ocr/HFM-A000619_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000621,page 128 low OCR chars=0,corpus/raw-ocr/HFM-A000621_p128_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000626,page 1 low OCR chars=44,corpus/raw-ocr/HFM-A000626_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000628,page 1 low OCR chars=55,corpus/raw-ocr/HFM-A000628_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000635,page 1 low OCR chars=38,corpus/raw-ocr/HFM-A000635_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000669,page 1 low OCR chars=32,corpus/raw-ocr/HFM-A000669_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000670,page 1 low OCR chars=35,corpus/raw-ocr/HFM-A000670_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000672,page 1 low OCR chars=44,corpus/raw-ocr/HFM-A000672_p001_raw.txt,LOW_OCR_OUTPUT
