ASSET_ID,SOURCE_PATH,REASON
HFM-A000639,非遗佐证/04 学术兼职/6、全国针灸推拿学行业产教融合共同体副理事长聘书或证明文件.pdf,B_OCR_no_text
HFM-A000641,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步三等奖.pdf,B_OCR_no_text
HFM-A000642,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖.pdf,B_OCR_no_text
HFM-A000643,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖2.pdf,B_OCR_no_text
HFM-A000644,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖3.pdf,B_OCR_no_text
HFM-A000645,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖4.pdf,B_OCR_no_text
HFM-A000646,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖5.pdf,B_OCR_no_text
HFM-A000647,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖6.pdf,B_OCR_no_text
HFM-A000648,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖7.pdf,B_OCR_no_text
HFM-A000649,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖8.pdf,B_OCR_no_text
HFM-A000650,非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖9.pdf,B_OCR_no_text
HFM-A000651,非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（封面）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,B_OCR_no_text
HFM-A000652,非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（正文）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,B_OCR_no_text
HFM-A000653,非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（目录）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,B_OCR_no_text
HFM-A000656,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/封面.pdf,B_OCR_no_text
HFM-A000657,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文1.pdf,B_OCR_no_text
HFM-A000658,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文2.pdf,B_OCR_no_text
HFM-A000659,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文3.pdf,B_OCR_no_text
HFM-A000660,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文4.pdf,B_OCR_no_text
HFM-A000661,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文5.pdf,B_OCR_no_text
HFM-A000662,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文6.pdf,B_OCR_no_text
HFM-A000663,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/目录.pdf,B_OCR_no_text
HFM-A000664,非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/首页.pdf,B_OCR_no_text
HFM-A000667,非遗佐证/05 技术成果/3、主持、参与的市、厅级中医药课题立项或结题证明复印件（十余项）/2023结项证书 甘肃特色地域文化传承创新研究一一以皇甫谧文化传承创新路径研究为例.pdf,B_OCR_no_text
